a_km,e_osc,i_deg,raan_deg,u_deg,r_km,v_kms,period_min,hx,hy,hz,norad,object_id,rcs_m2,d_eq_cm,perigee_cat_km,apogee_cat_km,gp_epoch,age_days,mean_motion,mean_e,mean_i,mean_raan,mean_argp,mean_M
7208.856167672069,0.0074189735473242785,99.01601418312127,325.22049245023817,322.6298812506351,7178.620733828286,7.467190640420225,101.52179101751734,-0.5633720608560036,-0.8112051125229465,-0.15671051803721778,30363,1999-025ACA,0.0071,9.507891862878783,776.0,886.0,2026-09-01T00:28:10.835040,0.9804301499999999,14.18266994,0.00766459,99.0175,324.2191,13.7916,346.5328
7214.38154178748,0.004885930726504472,98.79733044498435,280.7538651759671,71.08772687979301,7180.972596150141,7.467590853464356,101.63853353600076,-0.9708799311470826,-0.18439517157347532,-0.1529397920628398,30381,1999-025ACU,0.0072,9.574614729634384,806.0,886.0,2026-09-01T13:28:40.294272,0.43842252,14.13863071,0.00549907,98.793,280.3261,49.3081,311.2852
7105.680856328921,0.0037154800762681495,98.60729206713698,336.5035673624727,302.77415375461874,7116.350300515556,7.478490205119292,99.35009271242377,-0.3942016384868519,-0.9067560856521283,-0.1496611818312002,30446,1999-025AFH,0.0113,11.994835078277374,711.0,757.0,2026-09-01T17:37:35.499360,0.26556135,14.47385456,0.00324514,98.605,336.2285,26.3031,333.9801
7222.975015694281,0.007153716491813247,99.04716942699939,341.0742106953734,26.288970798831905,7272.537423841902,7.377865862642051,101.82018905153102,-0.3203081433000606,-0.9341712397205124,-0.15724753802431565,30471,1999-025AGJ,0.0099,11.227230955528666,784.0,900.0,2026-09-01T17:48:51.454080,0.2577378,14.15006159,0.00804075,99.0506,340.8174,230.8785,282.9443
7142.86192985219,0.004460923446189069,98.89315565037425,5.256497973412522,77.93397332324349,7132.787981863683,7.48075219314249,100.13089849043088,0.09051319431494394,-0.9838234403136391,-0.15459236703130114,30540,1999-025AKE,0.01,11.283791670955127,740.0,812.0,2026-09-01T19:19:48.822816,0.19457381,14.34768896,0.00501814,98.888,5.0587,11.2323,141.7591
7178.12761251555,0.005902134015348933,99.66986436752113,175.75235571104756,197.16841110406114,7197.401877432857,7.4318537876324635,100.87336127635766,0.07301513388023928,0.9830842098709386,-0.16797090976381301,30548,1999-025AKN,0.0105,11.562445770562217,748.0,843.0,2026-09-01T18:10:40.566144,0.24258604,14.28899016,0.00655854,99.6749,175.487,311.9556,78.6004
7221.208811674529,0.008627247313500386,98.73693383725403,244.91790809590364,258.93770766929094,7283.173157384797,7.3660932878948575,101.78284483406534,-0.895191741696587,0.4189973109642481,-0.1518979888048567,30561,1999-025ALB,0.0108,11.726460285670079,810.0,898.0,2026-09-01T16:14:25.000800,0.32332174999999996,14.11548172,0.00609502,98.7319,244.6054,87.8216,328.9288
7108.7369742728615,0.003747555174798019,98.9242366299759,219.1414082058112,311.80952406846745,7112.0687604704835,7.48460897598417,99.41419457370247,-0.6235949602717336,0.7662013701869641,-0.15512828835294348,30625,1999-025ANG,0.0078,9.965574970333758,705.0,764.0,2026-09-01T20:54:14.936544,0.12899379,14.47307825,0.00411428,98.9236,218.9997,236.4898,123.2359
7189.137322242233,0.004062615413252009,99.1838609097378,74.0796174717314,226.79857188571475,7218.315626478791,7.415967749190767,101.10552742644323,0.9493167293550677,-0.27078513622537964,-0.1596031245496138,30630,1999-025ANM,0.0064,9.0270333367641,795.0,833.0,2026-09-01T11:25:44.480064,0.5237907399999999,14.23249588,0.00265607,99.1835,73.5393,45.9085,18.5652
7186.561941371294,0.0021979089323162534,99.0350849537238,313.3369694898863,130.51373124014938,7191.961946652141,7.441868146135794,101.0512034007738,-0.7183056415667548,-0.6777725879263489,-0.157039244614181,30662,1999-025APU,0.0051,8.058239062071397,789.0,836.0,2026-09-01T15:40:52.002624,0.34662033999999997,14.23759567,0.00323855,99.0342,312.9754,235.5129,279.6692
7215.893876001626,0.0074458198988053325,99.22591088928894,229.3294237297175,67.87368129517321,7238.5110832115315,7.409050920017227,101.67049458895738,-0.7486574535598643,0.6432783868170802,-0.16032758428690438,30665,1999-025APX,0.0065,9.09728368293446,799.0,895.0,2026-09-01T22:06:59.882688,0.07847358,14.13654562,0.00668136,99.2218,229.2526,182.9242,206.5424
